FC novice|Full combo 1 song
FC amateur|Full combo 5 songs
FC professional|Full combo 10 songs
FC master|Full combo 25 songs
FC legend|Full combo 50 songs
The journey starts.|Play 1 song
Level up!|Play 10 songs
The journey continues.|Play 25 songs
Half way there...|Play 50 songs
The journey ends.|Play 100 songs
Death is inevitable!|Die once
15th time the charm|Die 15 times
Death is still inevitable, unfortunately.|Die 25 times
It's so sad to be true...|Die 50 times
Too good to live.|Die 80 times
Play the game normally...I guess?|Play a song using upscroll
Average rhythm game player.|Play a song using downscroll
Can't look on both sides.|Play a song using middlescroll
